"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"357.bt331","12","tsan","(nil)","n/a","n/a","ImplTaskRegion1",0.0252256,105.618,971953,122178938560,1654787,266786532454,226029,6637588559,319272,103534734,526007,3151719476,250775,8034293,378916,1869124816,334925,1489545990,971953,122178938560,-153445,213685823982,783104,38211984288,1025128,14888724184,351928,3036630608,2679400,11916367920
"357.bt331","12","tsan","0x4c47fe","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/initialize.f","4","ImplTaskRegion2",52.1051,52.1051,3768061915,3768061915,10370098402,10370098402,1347602034,1347602034,947778,947778,893383842,893383842,119355,119355,3456300490,3456300490,1710072604,1710072604,3768061915,3768061915,-410717870,-410717870,-16868632808,-16868632808,27649449080,27649449080,13969823088,13969823088,13680580832,13680580832
"357.bt331","12","tsan","0x4cd12e","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/exact_rhs.f","5","ImplTaskRegion3",12.0159,12.0159,1829574743,1829574743,4355953992,4355953992,339188578,339188578,1189811,1189811,222158123,222158123,79098,79098,739255467,739255467,367706281,367706281,1829574743,1829574743,1642445368,1642445368,-3199902328,-3199902328,5913410952,5913410952,2972393488,2972393488,2941650248,2941650248
"357.bt331","12","tsan","0x4d6a42","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/rhs.f","16","ImplTaskRegion4",240.148,240.148,219470219064,219470219064,448931019644,448931019644,12342436871,12342436871,11529619,11529619,6348274875,6348274875,10927318,10927318,11199493777,11199493777,10301054243,10301054243,219470219064,219470219064,350191524676,350191524676,9230963296,9230963296,89508531672,89508531672,7187516272,7187516272,82408433944,82408433944
"357.bt331","12","tsan","0x4d9f7f","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/x_solve.f","47","ImplTaskRegion5",277.443,277.443,313065462574,313065462574,765309090543,765309090543,18495224784,18495224784,403298548,403298548,8252162545,8252162545,19700037,19700037,1396426064,1396426064,1174424871,1174424871,313065462574,313065462574,617347292271,617347292271,136947990056,136947990056,11013808216,11013808216,1776009544,1776009544,9395398968,9395398968
"357.bt331","12","tsan","0x4dd49f","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/y_solve.f","45","ImplTaskRegion6",298.855,298.855,312224049224,312224049224,764764434377,764764434377,19941634161,19941634161,415039327,415039327,9259912820,9259912820,21976082,21976082,1148513975,1148513975,901575468,901575468,312224049224,312224049224,605231361089,605231361089,150520770144,150520770144,9012303144,9012303144,1975508056,1975508056,7212603744,7212603744
"357.bt331","12","tsan","0x4e4e2f","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/z_solve.f","45","ImplTaskRegion7",372.594,372.594,477868905445,477868905445,957977592489,957977592489,20644384975,20644384975,474528835,474528835,9969895224,9969895224,32719685,32719685,1943241403,1943241403,893431710,893431710,477868905445,477868905445,792822512689,792822512689,149870906056,149870906056,15284173744,15284173744,8398477544,8398477544,7147453680,7147453680
"357.bt331","12","tsan","0x4e5217","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/add.f","20","ImplTaskRegion8",9.65528,9.65528,11088506217,11088506217,21878273782,21878273782,635090561,635090561,1303496,1303496,201677234,201677234,1158854,1158854,730323703,730323703,678197447,678197447,11088506217,11088506217,16797549294,16797549294,-752594304,-752594304,5833318792,5833318792,417010048,417010048,5425579576,5425579576
"357.bt331","12","tsan","0x4e5b0c","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/error.f","26","ImplTaskRegion9",4.16848,4.16848,311318186,311318186,848867135,848867135,110495138,110495138,127594,127594,72749482,72749482,19275,19275,294855866,294855866,146424653,146424653,311318186,311318186,-35093969,-35093969,-1474731624,-1474731624,2358692728,2358692728,1187449704,1187449704,1171397224,1171397224
"357.bt331","12","tsan","0x4e5c5c","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_tsan-profiler.0000/error.f","83","ImplTaskRegion10",0.0238762,0.0238762,19934133,19934133,41883270,41883270,1570261,1570261,9421,9421,103726,103726,7986,7986,1818088,1818088,1694853,1694853,19934133,19934133,29321182,29321182,-1918728,-1918728,14480816,14480816,985880,985880,13558824,13558824
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"357.bt331","12","archer-sampling","(nil)","n/a","n/a","ImplTaskRegion1",0.0239303,106.356,1185607,135592359333,2011113,274316753745,278651,6588225408,467921,111469953,717021,3143530992,334648,7781785,488856,1691199112,429450,1612320562,1185607,135592359333,-218095,221610950481,995544,39238464648,1233664,13467338616,475248,631028400,3435600,12898564496
"357.bt331","12","archer-sampling","0x4c5f2e","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_archer-sampling-profiler.0000/initialize.f","4","ImplTaskRegion2",31.1877,31.1877,4543911253,4543911253,11748654545,11748654545,766980971,766980971,1848301,1848301,438838195,438838195,134827,134827,1831775983,1831775983,916986418,916986418,4543911253,4543911253,5612806777,5612806777,-8517281480,-8517281480,14653129248,14653129248,7318316520,7318316520,7335891344,7335891344
"357.bt331","12","archer-sampling","0x4ce85e","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/357.bt331/build/build_base_archer-sampling-profiler.0000/exact_rhs.f","5","ImplTaskRegion3",6.95771,6.95771,2094429304,2094429304,4798642584,4798642584,176118328,176118328,1045039,1045039,104471287,104471287,83151,83151,294104043,294104043,145894432,145894432,2094429304,2094429304,3389695960,3389695960,-943220512,-943220512,2352167136,2352167136,1185676888,1185676888,1167155456,1167155456
