"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"376.kdtree","48","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",0.915088,587.206,555220317,7586004885,779429606,99569875615,52074267,649695242,50434209,489148892,91572402,1038350377,11511724,34685066,19154976,1034883941,12023257,442146566,555220317,7586004885,727355339,98920180373,44431015,-350503633,7643252,1000198875,7131719,592737375,12023257,442146566
"376.kdtree","48","ixe-base","0x401674","n/a","n/a","ImplTaskRegion2",8.95726,8.95726,3114653619,3114653619,6792842263,6792842263,48726626,48726626,33812664,33812664,68647305,68647305,7784623,7784623,15479536,15479536,12153789,12153789,3114653619,3114653619,6744115637,6744115637,41031713,41031713,7694913,7694913,3325747,3325747,12153789,12153789
"376.kdtree","48","ixe-base","0x40173e","n/a","n/a","ImplTaskRegion3",11.2247,11.2247,172495504,172495504,243281395,243281395,14505376,14505376,15369358,15369358,29037678,29037678,2516375,2516375,13973167,13973167,9258483,9258483,172495504,172495504,228776019,228776019,3048584,3048584,11456792,11456792,4714684,4714684,9258483,9258483
"376.kdtree","48","ixe-base","0x401c24","n/a","n/a","ImplTaskRegion4",3.04124,61.7483,110025076,1647180973,149773888,7652045788,7700266,156403698,9698769,169293711,16126314,309536784,2690100,25076363,4785068,172415063,1938770,104787898,110025076,1647180973,142073622,7495642090,5605298,9064998,2094968,147338700,2846298,67627165,1938770,104787898
"376.kdtree","48","ixe-base","0x402810","n/a","n/a","ExplTaskRegion5",21.4139,71.0895,578344544,1626534122,2751471066,9642257401,52607412,163644369,50617596,204545377,98220791,348965485,8357092,30652319,59869446,188258492,35105937,112541064,578344544,1626534122,2698863654,9478613032,1095058,6038196,51512354,157606173,24763509,75717428,35105937,112541064
"376.kdtree","48","ixe-base","0x402928","n/a","n/a","ExplTaskRegion6",24.3181,96.4242,492958873,1842534974,2678369817,11568103446,44140817,185034926,50539385,240756679,89640344,403544056,8990255,39122785,51649822,216787036,31046969,121820807,492958873,1842534974,2634229000,11383068520,1481250,7370675,42659567,177664251,20602853,94966229,31046969,121820807
"376.kdtree","48","ixe-base","0x401d13","n/a","n/a","ImplTaskRegion7",0.710336,27666.7,16942713,174622591364,22591445,4561894578428,1359468,26908076158,2326786,19298735826,3539623,42657970865,896365,632607533,1502313,49715010668,720678,32273925751,16942713,174622591364,21231977,4534986502270,753520,-22174326977,605948,49082403135,781635,17441084917,720678,32273925751
"376.kdtree","48","ixe-base","0x402bad","n/a","n/a","ExplTaskRegion8",66.0124,13098.6,1415706771,74654015326,11987204125,2146949849691,138344895,12127572187,233567714,8236665658,348400592,18739062725,32422940,225227030,163717284,22921868178,95523537,14577308035,1415706771,74654015326,11848859230,2134822277504,7050551,-10569068961,131294344,22696641148,68193747,8344560143,95523537,14577308035
"376.kdtree","48","ixe-base","0x402c7a","n/a","n/a","ExplTaskRegion9",65.6712,13346.6,1265040186,75664107463,11805615790,2192397526444,126816410,12313599838,221480921,8332538436,326582408,18993732556,29487654,219847987,150371796,23413971056,90125227,15481956743,1265040186,75664107463,11678799380,2180083926606,5932268,-10880523231,120884142,23194123069,60246569,7932014313,90125227,15481956743
"376.kdtree","48","ixe-base","0x403271","n/a","n/a","ExplTaskRegion10",12942.5,12942.5,73485784463,73485784463,2143825015092,2143825015092,12041943877,12041943877,8020465770,8020465770,18453770586,18453770586,168819815,168819815,22886205865,22886205865,15853836255,15853836255,73485784463,73485784463,2131783071215,2131783071215,-10675442173,-10675442173,22717386050,22717386050,7032369610,7032369610,15853836255,15853836255
